pilot-10-002: 직렬화 의미검수 입력 286593자
pilot-10-002/subquestion:sub1: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub1:crit1: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub1:crit7: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub1:crit8: 시도 1, 응답 검증 통과
pilot-10-002/subquestion:sub3: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub3:crit2: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub3:crit9: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub3:crit10: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub3:crit11: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub3:crit12: 시도 1, 응답 검증 통과
pilot-10-002/criterion:sub3:crit13: 시도 1, 응답 검증 실패
pilot-10-002/criterion:sub3:crit13: 시도 2, 응답 검증 실패
